,Time,Scenario,Carbon price (US$2010/t CO2),Cost E12,Cost E3,Reduced Asset E12,Reduced Asset E123,A/D E12,A/D E123,PD E12,PD E123
0,2025,Nationally Determined Contributions (NDCs) ,25.6532531474326,2873164352.512451,16674614545.83119,272899154287.31757,256224539741.4864,10.158790853982008,9.538071005346927,6.558751859824803e-34,3.2133855606596944e-32
1,2030,Nationally Determined Contributions (NDCs) ,76.7320264625369,8593986963.804132,49875817200.64898,267178331676.02588,217302514475.3769,9.945830720145695,8.08918152335345,2.4536690415705472e-33,5.126189955410806e-28
2,2035,Nationally Determined Contributions (NDCs) ,86.9034962083527,9733191575.335503,56487272535.42926,266039127064.4945,209551854529.06525,9.903423328233243,7.800659803377659,3.1971382574377675e-33,3.93203654439742e-27
3,2040,Nationally Determined Contributions (NDCs) ,88.8078574230948,9946480031.386618,57725107325.01162,265825838608.4434,208100731283.43176,9.895483571797389,7.746641103340862,3.35980165989224e-33,5.783604967734458e-27
4,2045,Nationally Determined Contributions (NDCs) ,90.7122186378369,10159768487.437733,58962942114.59399,265612550152.39227,206649608037.79828,9.887543815361534,7.692622403304066,3.530821931453795e-33,8.519156281309682e-27
5,2050,Nationally Determined Contributions (NDCs) ,92.616579852579,10373056943.488848,60200776904.176346,265399261696.34116,205198484792.1648,9.879604058925679,7.638603703267269,3.710632576784797e-33,1.2566554806546127e-26
6,2025,Delayed transition,0.0,0.0,0.0,275772318639.83,275772318639.83,10.265745658669898,10.265745658669898,3.4014993025437295e-34,3.4014993025437295e-34
7,2030,Delayed transition,0.0,0.0,0.0,275772318639.83,275772318639.83,10.265745658669898,10.265745658669898,3.4014993025437295e-34,3.4014993025437295e-34
8,2035,Delayed transition,343.556706043628,38478351076.88634,223311858928.35822,237293967562.94366,13982108634.58545,8.833372143196723,0.5204901337541836,3.186672214868037e-30,0.9993083992179173
9,2040,Delayed transition,583.336530035282,65333691363.95158,379168744522.9333,210438627275.87845,-168730117247.05484,7.8336703082779495,-6.281052707389616,3.1082173930461756e-27,
10,2045,Delayed transition,591.538912685074,66252358220.728294,384500293245.2981,209519960419.1017,-174980332826.19638,7.799472531128907,-6.513719726921489,3.965465709056539e-27,
11,2050,Delayed transition,890.375237765118,99722026629.6932,578743904547.3267,176050292010.1368,-402693612537.1898,6.553549427384776,-14.990446557752097,4.263798533356375e-23,
12,2025,Net Zero 2050,199.48351555771,22342153742.46352,129664285112.5115,253430164897.3665,123765879784.85498,9.434049174707045,4.607239223136912,6.2560095386304e-32,5.467345980990155e-16
13,2030,Net Zero 2050,239.540999857945,26828591984.08984,155701649907.66425,248943726655.74017,93242076748.07593,9.267039541075114,3.470977251462529,1.839226716358409e-31,2.698722611327235e-11
14,2035,Net Zero 2050,320.060806574471,35846810336.34075,208039524273.40613,239925508303.48926,31885984030.08313,8.931332402827245,1.1869697573118443,1.6619326731444294e-30,0.14885356314831893
15,2040,Net Zero 2050,488.183229595151,54676521714.656906,317319099236.84814,221095796925.1731,-96223302311.67505,8.230388128255527,-3.581954682185023,1.9182369870197592e-28,
16,2045,Net Zero 2050,517.121273435331,57917582624.75707,336128827732.96515,217854736015.07294,-118274091717.89221,8.109738212660481,-4.402805000787028,4.440178123541362e-28,
17,2050,Net Zero 2050,602.380013036337,67466561460.06975,391547008473.6191,208305757179.76025,-183241251293.85883,7.7542732823627825,-6.821236044419583,5.4762612921200235e-27,
